TP_Mean,TP_Std,TP_Min,TP_Max,TP_Last2_Mean,TP_First2_Mean,TP_Trend,Respons_Mean,Respons_Std,Respons_Min,Respons_Max,Respons_Last2_Mean,Respons_Trend,Laporan_Mean,Laporan_Std,Laporan_Min,Laporan_Max,Laporan_Last2_Mean,Laporan_Trend,Attendance_PreFinal_Rate,Absence_Count,Partial_Attendance_Count,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Mean,Performance_Std,Performance_Late_Mean,Performance_Trend,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
90.0,8.461678320522472,80.0,100.0,93.5,91.5,-2.5,90.0,8.461678320522472,80.0,100.0,93.5,-2.5,66.4,20.227209397245087,41.5,89.0,42.0,-21.833333333333336,0.8,1,0,1.0,1.0,1.0,82.13333333333334,17.546572948077987,76.33333333333333,-11.166666666666671,1,Kompeten,60200125115,B,UNIFIED
90.8,7.934733769950949,80.0,100.0,93.5,90.0,1.3333333333333286,90.8,7.934733769950949,80.0,100.0,93.5,1.3333333333333286,88.5,1.0488088481701516,86.5,89.5,88.75,1.25,0.8,1,0,1.0,1.0,1.0,90.03333333333333,6.596632137352784,91.91666666666667,2.6666666666666714,1,Kompeten,60200125123,B,UNIFIED
15.0,30.0,0.0,75.0,0.0,37.5,-37.5,15.0,30.0,0.0,75.0,0.0,-37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2,0,0.2,0.2,0.0,10.0,25.495097567963924,0.0,-25.0,1,Kompeten,60200125124,B,UNIFIED
92.8,8.908422980528034,80.0,100.0,92.0,90.0,4.666666666666671,92.8,8.908422980528034,80.0,100.0,92.0,4.666666666666671,58.6,19.79747458642137,42.0,85.5,42.5,-40.25,0.8,1,0,1.0,1.0,1.0,81.4,21.05880655054634,75.5,-12.083333333333329,1,Kompeten,60200125126,B,UNIFIED
52.0,43.08131845707603,0.0,100.0,0.0,90.0,-63.33333333333333,52.0,43.08131845707603,0.0,100.0,0.0,-63.33333333333333,51.2,41.90656273186814,0.0,88.0,0.0,-54.66666666666667,0.8,1,0,0.6,0.6,0.6,51.733333333333334,42.694990598689934,0.0,-88.0,0,Belum Kompeten,60200125127,B,UNIFIED
92.0,9.797958971132712,80.0,100.0,90.0,90.0,3.3333333333333286,92.0,9.797958971132712,80.0,100.0,90.0,3.3333333333333286,50.3,17.648229372942772,40.5,85.5,40.5,-21.583333333333336,1.0,0,0,1.0,1.0,1.0,78.1,23.54230235129946,73.5,-7.583333333333329,1,Kompeten,60200125128,B,UNIFIED
89.6,8.639444426582072,80.0,100.0,92.5,91.5,-3.1666666666666714,89.6,8.639444426582072,80.0,100.0,92.5,-3.1666666666666714,52.2,34.08313365874682,0.0,90.0,40.75,12.0,0.8,1,0,1.0,1.0,0.8,77.13333333333334,27.346216476060366,75.25,-0.75,1,Kompeten,60200125129,B,UNIFIED
91.2,7.413501197140255,82.0,100.0,93.5,91.0,0.3333333333333286,91.2,7.413501197140255,82.0,100.0,93.5,0.3333333333333286,60.8,21.233464154489724,42.0,88.0,42.5,-9.916666666666664,1.0,0,0,1.0,1.0,1.0,81.06666666666666,19.80645237177914,76.5,-6.416666666666671,1,Kompeten,60200125155,B,UNIFIED
82.6,8.380930735902785,66.0,88.0,75.5,88.0,-9.0,82.6,8.380930735902785,66.0,88.0,75.5,-9.0,86.2,1.8867962264113207,82.5,87.5,84.5,-2.1666666666666714,1.0,0,0,1.0,1.0,1.0,83.8,7.133956359085282,78.5,-9.333333333333329,1,Kompeten,60200125010,C,UNIFIED
84.8,1.4696938456699067,82.0,86.0,84.0,85.5,-1.1666666666666714,67.6,33.82661673889365,0.0,86.0,41.0,-29.833333333333336,85.7,1.0295630140987,84.5,87.0,86.5,2.0,1.0,0,0,1.0,0.8,1.0,79.36666666666666,21.256737494001495,70.5,-14.666666666666671,1,Kompeten,60200125011,C,UNIFIED
